date,cases
2022-01-21,1
2022-01-22,1
2022-01-23,1
2022-01-24,2
2022-01-25,3
2022-01-26,5
2022-01-27,5
2022-01-28,5
2022-01-29,5
2022-01-30,6
2022-01-31,7
2022-02-01,8
2022-02-02,11
2022-02-03,11
2022-02-04,11
2022-02-05,12
2022-02-06,12
2022-02-07,12
2022-02-08,12
2022-02-09,12
2022-02-10,13
2022-02-11,13
2022-02-12,14
2022-02-13,15
2022-02-14,15
2022-02-15,15
2022-02-16,15
2022-02-17,25
2022-02-18,25
2022-02-19,25
2022-02-20,27
2022-02-21,30
2022-02-22,30
2022-02-23,30
2022-02-24,43
2022-02-25,45
2022-02-26,60
2022-02-27,60
2022-02-28,65
2022-02-29,70
2022-03-01,88
2022-03-02,104
2022-03-03,125
2022-03-04,161
2022-03-05,228
2022-03-06,311
2022-03-07,428
2022-03-08,547
2022-03-09,748
2022-03-10,1018
2022-03-11,1263
2022-03-12,1668
2022-03-13,2224
2022-03-14,2898
2022-03-15,3600
2022-03-16,4507
2022-03-17,5905
2022-03-18,8345
2022-03-19,12384
2022-03-20,17990
2022-03-21,24511
2022-03-22,33043
2022-03-23,43477
2022-03-24,53892
2022-03-25,68489
2022-03-26,85497
2022-03-27,102729
2022-03-28,123581
2022-03-29,142194
2022-03-30,163589
2022-03-31,188049
2022-04-01,214711
2022-04-02,244423
2022-04-03,276501
2022-04-04,311536
2022-04-05,336771
2022-04-06,366227
2022-04-07,397748
2022-04-08,429316
2022-04-09,463684
2022-04-10,496914
2022-04-11,528397
2022-04-12,555327
2022-04-13,580853
2022-04-14,607285
2022-04-15,637056
2022-04-16,668533
2022-04-17,699853
